vigenciadesde,TRM
2021-01-05,3420.78
2021-01-06,3450.74
2021-01-07,3428.04
2021-01-08,3459.39
2021-01-09,3478.11
2021-01-10,3478.11
2021-01-11,3478.11
2021-01-12,3478.11
2021-01-13,3487.65
2021-01-14,3478.36
2021-01-15,3469.76
2021-01-16,3466.8
2021-01-17,3466.8
2021-01-18,3466.8
2021-01-19,3466.8
2021-01-20,3482.03
2021-01-21,3476.19
2021-01-22,3477.48
2021-01-23,3525.25
2021-01-24,3525.25
2021-01-25,3525.25
2021-01-26,3582.41
2021-01-27,3591.48
2021-01-28,3636.91
2021-01-29,3585.44
2021-01-30,3559.46
2021-01-31,3559.46
2021-02-01,3559.46
2021-02-02,3561.37
2021-02-03,3534.99
2021-02-04,3522.57
2021-02-05,3558.63
2021-02-06,3543.28
2021-02-07,3543.28
2021-02-08,3543.28
2021-02-09,3554.65
2021-02-10,3583.23
2021-02-11,3557.16
2021-02-12,3525.45
2021-02-13,3515.65
2021-02-14,3515.65
2021-02-15,3515.65
2021-02-16,3515.65
2021-02-17,3518.19
2021-02-18,3545.84
2021-02-19,3537.86
2021-02-20,3555.4
2021-02-21,3555.4
2021-02-22,3555.4
2021-02-23,3602.41
2021-02-24,3590.37
2021-02-25,3578.29
2021-02-26,3588.23
2021-02-27,3624.39
2021-02-28,3624.39
2021-03-01,3624.39
2021-03-02,3622.36
2021-03-03,3646.61
2021-03-04,3676.94
2021-03-05,3647.99
2021-03-06,3640.2
2021-03-07,3640.2
2021-03-08,3640.2
2021-03-09,3623.61
2021-03-10,3598.77
2021-03-11,3561.91
2021-03-12,3534.62
2021-03-13,3575.3
2021-03-14,3575.3
2021-03-15,3575.3
2021-03-16,3575.63
2021-03-17,3553.51
2021-03-18,3578.02
2021-03-19,3569.45
2021-03-20,3553.34
2021-03-21,3553.34
2021-03-22,3553.34
2021-03-23,3553.34
2021-03-24,3589.82
2021-03-25,3635.12
2021-03-26,3658.22
2021-03-27,3665.41
2021-03-28,3665.41
2021-03-29,3665.41
2021-03-30,3705.85
2021-03-31,3736.91
2021-04-01,3678.62
2021-04-02,3678.62
2021-04-03,3678.62
2021-04-04,3678.62
2021-04-05,3678.62
2021-04-06,3645.79
2021-04-07,3645.14
2021-04-08,3639.62
2021-04-09,3634.07
2021-04-10,3650.23
2021-04-11,3650.23
2021-04-12,3650.23
2021-04-13,3653.57
2021-04-14,3666.17
2021-04-15,3665.49
2021-04-16,3620.4
2021-04-17,3595.57
2021-04-18,3595.57
2021-04-19,3595.57
2021-04-20,3606.42
2021-04-21,3636.26
2021-04-22,3639.12
2021-04-23,3630.81
2021-04-24,3640.07
2021-04-25,3640.07
2021-04-26,3640.07
2021-04-27,3659.62
2021-04-28,3717.46
2021-04-29,3699.74
2021-04-30,3712.89
2021-05-01,3740.14
2021-05-02,3740.14
2021-05-03,3740.14
2021-05-04,3816.65
2021-05-05,3831.35
2021-05-06,3846.28
2021-05-07,3800.33
2021-05-08,3765.33
2021-05-09,3765.33
2021-05-10,3765.33
2021-05-11,3714.94
2021-05-12,3703.2
2021-05-13,3734.09
2021-05-14,3728.09
2021-05-15,3682.84
2021-05-16,3682.84
2021-05-17,3682.84
2021-05-18,3682.84
2021-05-19,3655.74
2021-05-20,3682.66
2021-05-21,3721.57
2021-05-22,3738.19
2021-05-23,3738.19
2021-05-24,3738.19
2021-05-25,3750.66
2021-05-26,3735.41
2021-05-27,3747.48
2021-05-28,3729.02
2021-05-29,3715.28
2021-05-30,3715.28
2021-05-31,3715.28
2021-06-01,3715.28
2021-06-02,3671.38
2021-06-03,3642.29
2021-06-04,3657.41
2021-06-05,3609.2
2021-06-06,3609.2
2021-06-07,3609.2
2021-06-08,3609.2
2021-06-09,3597.18
2021-06-10,3588.41
2021-06-11,3589.86
2021-06-12,3626.02
2021-06-13,3626.02
2021-06-14,3626.02
2021-06-15,3626.02
2021-06-16,3693.35
2021-06-17,3690.56
2021-06-18,3730.45
2021-06-19,3753.77
2021-06-20,3753.77
2021-06-21,3753.77
2021-06-22,3758.08
2021-06-23,3784.45
2021-06-24,3773.11
2021-06-25,3770.35
2021-06-26,3739.03
2021-06-27,3739.03
2021-06-28,3739.03
2021-06-29,3713.17
2021-06-30,3756.67
2021-07-01,3748.5
2021-07-02,3775.53
2021-07-03,3777.17
2021-07-04,3777.17
2021-07-05,3777.17
2021-07-06,3777.17
2021-07-07,3782.27
2021-07-08,3815.22
2021-07-09,3850.46
2021-07-10,3829.46
2021-07-11,3829.46
2021-07-12,3829.46
2021-07-13,3824.08
2021-07-14,3826.85
2021-07-15,3796.07
2021-07-16,3809.07
2021-07-17,3808.46
2021-07-18,3808.46
2021-07-19,3808.46
2021-07-20,3842.97
2021-07-21,3842.97
2021-07-22,3855.68
2021-07-23,3866.86
2021-07-24,3874.44
2021-07-25,3874.44
2021-07-26,3874.44
2021-07-27,3904.17
2021-07-28,3918.49
2021-07-29,3902.18
2021-07-30,3836.95
2021-07-31,3867.88
2021-08-01,3867.88
2021-08-02,3867.88
2021-08-03,3865.46
2021-08-04,3913.59
2021-08-05,3911.36
2021-08-06,3910.81
2021-08-07,3949.33
2021-08-08,3949.33
2021-08-09,3949.33
2021-08-10,3988.27
2021-08-11,3979.8
2021-08-12,3950.43
2021-08-13,3887.07
2021-08-14,3830.25
2021-08-15,3830.25
2021-08-16,3830.25
2021-08-17,3830.25
2021-08-18,3868.41
2021-08-19,3861.33
2021-08-20,3876.08
2021-08-21,3874.95
2021-08-22,3874.95
2021-08-23,3874.95
2021-08-24,3867.73
2021-08-25,3861.88
2021-08-26,3865.04
2021-08-27,3870.57
2021-08-28,3834.13
2021-08-29,3834.13
2021-08-30,3834.13
2021-08-31,3806.87
2021-09-01,3774.0
2021-09-02,3753.3
2021-09-03,3780.85
2021-09-04,3790.04
2021-09-05,3790.04
2021-09-06,3790.04
2021-09-07,3790.04
2021-09-08,3812.76
2021-09-09,3816.14
2021-09-10,3829.72
2021-09-11,3836.85
2021-09-12,3836.85
2021-09-13,3836.85
2021-09-14,3835.27
2021-09-15,3830.83
2021-09-16,3825.36
2021-09-17,3818.16
2021-09-18,3828.18
2021-09-19,3828.18
2021-09-20,3828.18
2021-09-21,3851.22
2021-09-22,3843.77
2021-09-23,3834.66
2021-09-24,3835.67
2021-09-25,3844.88
2021-09-26,3844.88
2021-09-27,3844.88
2021-09-28,3837.91
2021-09-29,3841.94
2021-09-30,3834.68
2021-10-01,3812.77
2021-10-02,3781.35
2021-10-03,3781.35
2021-10-04,3781.35
2021-10-05,3786.05
2021-10-06,3796.3
2021-10-07,3788.03
2021-10-08,3772.44
2021-10-09,3765.8
2021-10-10,3765.8
2021-10-11,3765.8
2021-10-12,3765.8
2021-10-13,3738.48
2021-10-14,3725.75
2021-10-15,3755.29
2021-10-16,3772.49
2021-10-17,3772.49
2021-10-18,3772.49
2021-10-19,3772.49
2021-10-20,3766.94
2021-10-21,3770.58
2021-10-22,3783.3
2021-10-23,3780.38
2021-10-24,3780.38
2021-10-25,3780.38
2021-10-26,3769.98
2021-10-27,3774.46
2021-10-28,3761.21
2021-10-29,3766.1
2021-10-30,3784.44
2021-10-31,3784.44
2021-11-01,3784.44
2021-11-02,3784.44
2021-11-03,3778.69
2021-11-04,3837.84
