Fecha,brent_value
2021-10-01,78.47999999999999
2021-10-02,78.47999999999999
2021-10-03,78.47999999999999
2021-10-04,80.375
2021-10-05,82.16
2021-10-06,82.035
2021-10-07,80.78999999999999
2021-10-08,82.695
2021-10-09,82.695
2021-10-10,82.695
2021-10-11,83.57
2021-10-12,83.475
2021-10-13,82.945
2021-10-14,83.84
2021-10-15,84.63
2021-10-16,84.63
2021-10-17,84.63
2021-10-18,84.995
2021-10-19,84.55000000000001
2021-10-20,84.75
2021-10-21,84.72999999999999
2021-10-22,84.875
2021-10-23,84.875
2021-10-24,84.875
2021-10-25,86.065
2021-10-26,85.88499999999999
2021-10-27,85.16499999999999
2021-10-28,83.455
2021-10-29,84.31
2021-10-30,84.31
2021-10-31,84.31
2021-11-01,84.075
2021-11-02,84.495
2021-11-03,82.65
2021-11-04,82.345
2021-11-05,81.71000000000001
2021-11-06,81.71000000000001
2021-11-07,81.71000000000001
2021-11-08,83.265
2021-11-09,84.22999999999999
2021-11-10,83.78999999999999
2021-11-11,82.55
2021-11-12,82.065
2021-11-13,82.065
2021-11-14,82.065
2021-11-15,81.58
2021-11-16,82.33
2021-11-17,81.0
2021-11-18,80.345
2021-11-19,80.145
2021-11-20,80.145
2021-11-21,80.145
2021-11-22,78.82499999999999
2021-11-23,80.57499999999999
2021-11-24,82.37
2021-11-25,82.14
2021-11-26,76.9
2021-11-27,76.9
2021-11-28,76.9
2021-11-29,74.715
2021-11-30,72.39
2021-12-01,70.505
2021-12-02,68.21000000000001
2021-12-03,70.93
2021-12-04,70.93
2021-12-05,70.93
2021-12-06,72.02
2021-12-07,74.735
2021-12-08,75.375
2021-12-09,75.27000000000001
2021-12-10,74.755
2021-12-11,74.755
2021-12-12,74.755
2021-12-13,75.295
2021-12-14,73.865
2021-12-15,73.53999999999999
2021-12-16,74.805
2021-12-17,73.815
2021-12-18,73.815
2021-12-19,73.815
2021-12-20,71.075
2021-12-21,72.755
2021-12-22,74.64500000000001
2021-12-23,75.89
2021-12-24,76.27000000000001
2021-12-25,76.27000000000001
2021-12-26,76.27000000000001
2021-12-27,77.41499999999999
2021-12-28,79.16499999999999
2021-12-29,79.15
2021-12-30,79.08
2021-12-31,78.61500000000001
2022-01-01,78.61500000000001
2022-01-02,78.61500000000001
2022-01-03,78.16
2022-01-04,79.58500000000001
2022-01-05,80.505
2022-01-06,81.22
2022-01-07,82.21000000000001
2022-01-08,82.21000000000001
2022-01-09,82.21000000000001
2022-01-10,81.4
2022-01-11,82.435
2022-01-12,84.365
2022-01-13,84.445
2022-01-14,85.245
2022-01-15,85.245
2022-01-16,85.245
2022-01-17,86.125
2022-01-18,87.55
2022-01-19,88.39
2022-01-20,88.275
2022-01-21,86.97
2022-01-22,86.97
2022-01-23,86.97
2022-01-24,86.97
2022-01-25,87.285
2022-01-26,89.13
2022-01-27,90.02000000000001
2022-01-28,90.555
2022-01-29,90.555
2022-01-30,90.555
2022-01-31,91.045
2022-02-01,88.84
2022-02-02,89.4
2022-02-03,89.66
2022-02-04,92.45
2022-02-05,92.45
2022-02-06,92.45
2022-02-07,93.065
2022-02-08,91.43
2022-02-09,91.07
2022-02-10,91.99
2022-02-11,93.08500000000001
2022-02-12,93.08500000000001
2022-02-13,93.08500000000001
2022-02-14,95.11
2022-02-15,94.16
2022-02-16,93.59
2022-02-17,93.32
2022-02-18,92.135
2022-02-19,92.135
2022-02-20,92.135
2022-02-21,94.985
2022-02-22,97.65
2022-02-23,97.25999999999999
2022-02-24,101.67500000000001
2022-02-25,98.995
2022-02-26,98.995
2022-02-27,98.995
2022-02-28,102.35499999999999
2022-03-01,102.985
2022-03-02,110.97
2022-03-03,114.62
2022-03-04,114.30000000000001
2022-03-05,114.30000000000001
2022-03-06,114.30000000000001
2022-03-07,129.085
2022-03-08,127.23
2022-03-09,118.61999999999999
2022-03-10,113.68
2022-03-11,110.52
2022-03-12,110.52
2022-03-13,110.52
2022-03-14,108.32
2022-03-15,101.57499999999999
2022-03-16,100.315
2022-03-17,102.625
2022-03-18,107.685
2022-03-19,107.685
2022-03-20,107.685
2022-03-21,111.93
2022-03-22,116.06
2022-03-23,118.39500000000001
2022-03-24,120.33500000000001
2022-03-25,118.03999999999999
2022-03-26,118.03999999999999
2022-03-27,118.03999999999999
2022-03-28,114.48
2022-03-29,109.83500000000001
