date,precipitacion_unidadmedida,precipitacion_amazonas,precipitacion_arauca,precipitacion_atlantico,precipitacion_bogota,precipitacion_bolivar,precipitacion_caqueta,precipitacion_casanare,precipitacion_cesar,precipitacion_choco,precipitacion_guainia,precipitacion_guaviare,precipitacion_la guajira,precipitacion_magdalena,precipitacion_meta,precipitacion_narino,precipitacion_norte de santander,precipitacion_putumayo,precipitacion_quindio,precipitacion_risaralda,precipitacion_san andres providencia,precipitacion_sucre,precipitacion_vaupes,precipitacion_vichada,precipitacion_departamentos_represa
2021-01-01,mm,49.11,7.8,11.23,0.11,10.5,0.0,2.9000000000000004,0.0,1120.4,8.0,14.1,1.69,23.27,0.0,102.591,12.4,4.48,0.1,2.3,0.3,3.4,0.7,0.48,1155.355
2021-01-02,mm,23.12,33.3,7.22,5.86,9.1,16.6,13.600000000000001,0.0,1023.0999999999999,0.2,19.8,0.6,22.54,31.09,281.993,7.57,0.8,18.3,22.026,9.8,4.0,3.7,7.360000000000001,3254.2209999999995
2021-01-03,mm,0.22,37.1,8.02,0.0,5.39,4.4,6.2,0.0,1050.5,0.0,10.52,0.7,24.549999999999997,0.0,152.391,28.53,3.1999999999999997,42.300000000000004,68.30799999999999,6.4,3.5,0.2,8.7,1272.215
2021-01-04,mm,0.01,1.7,8.24,0.0,0.0,0.0,0.3,0.0,415.70000000000005,0.0,6.859999999999999,0.1,6.199999999999999,0.0,5.91,25.77,4.8,41.7,29.418,1.0,0.6,0.0,15.48,413.974
2021-01-05,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2021-01-06,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2021-01-07,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2021-01-08,mm,9.266018018018018,18.861241217798593,33.97318376068376,9.864574944071588,45.772518676627534,19.41091113610799,54.83837393162393,29.170744336569577,873.6126775956284,8.38736176935229,5.676525821596243,9.470978723404256,26.122518756698817,42.02942462600691,50.51582465462275,62.761192758253465,13.992164674634795,28.172589304812835,40.04457917109458,7.959263607257204,23.52471276595745,4.17710843373494,7.151162790697675,812.8839448127476
2021-01-09,mm,6.81,72.2,10.99,1.67,2.05,0.3,8.899999999999999,0.0,1059.0,1.4,17.1,0.81,16.34,15.68,260.488,1.9,0.6,0.5,74.138,0.9,7.0,0.0,7.360000000000001,2673.01
2021-01-10,mm,2.9,106.3,14.82,0.86,0.0,10.9,1.6,0.0,1033.6999999999998,7.8,17.1,0.6,9.11,27.34,123.419,7.9,32.0,6.8,61.467,30.5,7.5,1.9,7.200000000000001,2891.826
2021-01-11,mm,0.41000000000000003,143.5,10.18,0.24000000000000002,0.0,28.200000000000003,5.6,0.0,1094.1,0.2,16.3,0.5,12.27,8.05,137.218,23.5,56.4,20.2,123.279,5.0,9.7,0.3,7.2,3338.211
